Descrição do Item;Unid.;Cód.Grupo;GRUPO DE PRODUTOS;INSUMOS/PRODUTOS;FORNECEDOR/PRODUTOS
Adaptador soldável de PVC marrom para água fria (diâmetro da seção: 75;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável PVC marrom para água fria (diâmetro da parte soldáv;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador Soquete Rosca E27 Para E40;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ADAPTADOR;
Adesivo com base epoxi para trincas e fissuras;KG;30;IMPERMEABILIZAÇÃO;ADESIVO;
Adesivo estrutural com base epoxi;KG;30;IMPERMEABILIZAÇÃO;ADESIVO;
Adesivo indicativo de tensão ( 110V);R;13;ELÉTRICA, TELEFONE E LÓGICA;ADESIVO;
Adesivo indicativo de tensão ( 220V);R;13;ELÉTRICA, TELEFONE E LÓGICA;ADESIVO;
Adesivo para argamassas e chapiscos;KG;30;IMPERMEABILIZAÇÃO;ADESIVO;
Adesivo para tubo de PVC c Pincel c/ 175GR;UN;29;HIDROSANITÁRIO E GAS;ADESIVO;
Adesivo plastico para pvc - cola;UN;29;HIDROSANITÁRIO E GAS;ADESIVO;
Aditivo (Bianco);L;30;IMPERMEABILIZAÇÃO;ADESIVO;
Adubo;Kg;32;JARDINAGEM E PAISAGISMO;ADUBO;
Afastador para fixação de telha de fibrocimento  - tipo canalete 90 e;UN;9.6;COBERTURA ;AFASTADOR TELHA;
Agua Raz;L;42;PINTURA ;AGUARRAS;
Agua sanitaria;L;34;LIMPEZA;AGUA;
Alarme;UN;64;SEGURANÇA;ALARME;
Alarme - Alicate de Crimpar HT 568R c/ catraca;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ALARME;
Alarme - Cabo Branco 4 vias  p/ alarme 2 Pares c/ 100m;R;13;ELÉTRICA, TELEFONE E LÓGICA;ALARME;
Alarme - Cabo Coaxial 4x2,5 + bip 80% malha 500m Branco;M;13;ELÉTRICA, TELEFONE E LÓGICA;ALARME;
Alarme - Cabo Utp Catse 4p Preto  True Lan;M;13;ELÉTRICA, TELEFONE E LÓGICA;ALARME;
Alarme - Conector RJ 45 Cats Fio Sólido Amp Tycon;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ALARME;
Alavanca em L p/ desforma;UN;23;FERRAMENTA;ALAVANCA;
Alavanca Reta;UN;23;FERRAMENTA;ALAVANCA;
Alça com isolador de porcelana (padrão: TELESP);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ALÇA;
Alcapao de ferro;M2;20;ESQUADRIA DE FERRO;ALÇAPÃO;
Alçapao de gesso;UN;28.1;FORRO E DIVISÓRIA;GESSO;
Alcool;L;34;LIMPEZA;ÁLCOOL;
Alicate de Bico;UN;23;FERRAMENTA;ALICATE;
Alicate de corte;UN;23;FERRAMENTA;ALICATE;
Alicate hidraulico;UN;23;FERRAMENTA;ALICATE;
Alicate Universal;UN;23;FERRAMENTA;ALICATE;
Andaime fachadeiro com elemento horizontal;M2;5;ANDAIME;ELEMENTO HORIZONTAL;
Andaime fachadeiro com elemento vertical;M2;5;ANDAIME;ELEMENTO VERTICAL;
Andaime fachadeiro, barra de contraventamento;M2;5;ANDAIME;CONTRAVENTAMENTO;
Andaime interno com barra de contraventamento;M2;5;ANDAIME;CONTRAVENTAMENTO;
Andaime interno com elemento horizontal;M2;5;ANDAIME;ELEMENTO HORIZONTAL;
Andaime interno com elemento vertical;M2;5;ANDAIME;ELEMENTO VERTICAL;
Andaime interno sem barra de contraventamento;M2;5;ANDAIME;CONTRAVENTAMENTO;
Anel de borracha para tubo PVC para esgoto 100mm;UN;29;HIDROSANITÁRIO E GAS;ANEL;
Anel de borracha para tubo PVC para esgoto 50mm;UN;29;HIDROSANITÁRIO E GAS;ANEL;
"Anel de concreto para poço D= 0,6 m; h=0,50 m";UN;47;PRÉ-MOLDADO DE CONCRETO;ANEL DE CONCRETO;
"Anel de concreto para poço D= 0,7 m; h=0,50 m";UN;47;PRÉ-MOLDADO DE CONCRETO;ANEL DE CONCRETO;
"Anel de concreto para poço D= 0,8 m; h=0,50 m";UN;47;PRÉ-MOLDADO DE CONCRETO;ANEL DE CONCRETO;
"Anel de concreto para poço D= 1,0 m; h=0,50 m";UN;47;PRÉ-MOLDADO DE CONCRETO;ANEL DE CONCRETO;
"Anel de concreto para poço D= 1,2 m; h=0,50 m";UN;47;PRÉ-MOLDADO DE CONCRETO;ANEL DE CONCRETO;
"Anel de concreto para poço D= 1,5 m; h=0,50 m";UN;47;PRÉ-MOLDADO DE CONCRETO;ANEL DE CONCRETO;
"Anel de concreto para poço D= 2,0 m; h=0,50 m";UN;47;PRÉ-MOLDADO DE CONCRETO;ANEL DE CONCRETO;
Anel de vedacao para bacia;UN;29;HIDROSANITÁRIO E GAS;ANEL;
Anel de vedação para saída de vaso sanitário (diâmetro da seção: 100mm;UN;29;HIDROSANITÁRIO E GAS;ANEL;
Anel O ring p Extintor;UN;11;CONTRA INCÊNDIO;ANEL;
Anel para base fusível Diazed 25 A (altura: 17,50 mm / diâmetro da bas;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ANEL;
Anel para base fusível Diazed 63 A (altura: 19,00 mm / diâmetro da bas;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ANEL;
Anilha 0A7 2,5mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ANILHA;
Anti-ferrugem 1,0L (ferrox);L;42;PINTURA ;ANTI-FERRUGEM;
Aparelho Ar Condicionado de Parede;UN;37.2;MÁQUINA E EQUIPAMENTO;AR CONDICIONADO;
Aparelho de Solda Max-Chamas c/3pçs;UN;37.3;MÁQUINA E EQUIPAMENTO;SOLDA;
Aparelho de telefone e acessorios;UN;16;EQUIPAMENTO PARA ESCRITÓRIO;TELEFONE;
Aparelho sinalizador de obstáculos GTP 102;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APARELHO;
Apoio (ILB0023) Tomada RJ 11 Duplo + Suporte + Placa 4x2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB2021) Pulsador de Campainha + suporte + placa 4x2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB2101) 2 Interruptores Simples + Suporte + Placa 4x2 10A 250V;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB2121) 2 Interruptores Paralelos + suporte + Placa 4x2 10A 25;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7000) Interruptor Simples 10A 250V~ - Módulo;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7001) Interruptor Simples Modular + Suporte+ Placa 4x2 10A 2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7010) Interruptor Paralelo 10A 250V~ - Módulo;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7020) Pulsador de Campainha 10A 250V~- Módulo;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7202) Placa 4x2 para 2 Módulos + Suporte;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7203) Placa para 3 Módulos + suporte - Iliá;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7204) Placa 4x2 para 01 Módulo Horizontal + Suporte;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7204) Placa 4x2 para 1 módulo Horiz + Suporte;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7212) Módulo Vista Cega - 2 unid;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7220) Módulo para Cabo Coaxial (TV);UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7301) 1 Interruptores Simples + Tomada 2 P+T 10A Modular+sup;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7401) Tomada 2P+T Modular + Suporte - Placa 4x2 10A 250V~;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7440) Placa 4x4 Cega + suporte;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7440) Placa 4x4 Cega + Suporte;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7442) Placa 4x4 para 02 Módulos + Suporte;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7601) Tomada 2P+T Modular + Suporte - Placa 4x2 20A 250V~;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB7819) Módulo Campainha Cigarra Bivolt;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Apoio (ILB8011) 2 Interruptores Paralelos 10A 250V + 1 Tomada 2P+T 10A;UN;13;ELÉTRICA, TELEFONE E LÓGICA;APOIO;
Aprumador metálico para pilares;CJ;23;FERRAMENTA;APRUMADOR;
Aquecedor a gas de acumulo;UN;56;AQUECIMENTO;AQUECEDOR A GAS;
Aquecedor a gas de passagem;UN;56;AQUECIMENTO;AQUECEDOR A GAS;
Aquecedor eletrico;UN;56;AQUECIMENTO;AQUECEDOR ELETRICO;
Aquecedor solar;UN;56;AQUECIMENTO;AQUECEDOR SOLAR;
Ar condicionado;UN;16;EQUIPAMENTO PARA ESCRITÓRIO;AR CONDICIONADO;
Ar condicionado central - Sistema VRF;UN;81;AR CONDICIONADO CENTRAL;SISTEMA VRF;
Arame galvanizado Fio 14;KG;13;ELÉTRICA, TELEFONE E LÓGICA;ARAME;
